ts_server,watt,voltage,current,frequency,energy_kwh,pf,source,timestamp
1766832793468,17.4,228.89999,0.076,50.0,4.187,1.0,json_import,2025-12-27 10:53:13.468
1766833093479,11.1,230.3,0.051,50.0,4.189,0.95,json_import,2025-12-27 10:58:13.479
1766833393612,26.1,227.60001,0.119,50.0,4.191,0.96,json_import,2025-12-27 11:03:13.612
1766833693478,30.5,228.39999,0.141,50.0,4.193,0.95,json_import,2025-12-27 11:08:13.478
1766833993480,29.7,228.7,0.138,49.9,4.196,0.94,json_import,2025-12-27 11:13:13.480
1766834294138,28.4,228.10001,0.13,50.0,4.198,0.96,json_import,2025-12-27 11:18:14.138
1766834593597,28.4,227.5,0.13,50.0,4.2,0.96,json_import,2025-12-27 11:23:13.597
1766834893488,26.1,227.7,0.121,50.0,4.203,0.95,json_import,2025-12-27 11:28:13.488
1766835193500,27.7,228.0,0.127,50.0,4.205,0.96,json_import,2025-12-27 11:33:13.500
1766835493501,26.4,227.3,0.122,50.0,4.207,0.95,json_import,2025-12-27 11:38:13.501
1766835793750,28.0,228.89999,0.128,49.9,4.209,0.96,json_import,2025-12-27 11:43:13.750
1766836093527,28.0,229.10001,0.127,50.0,4.212,0.96,json_import,2025-12-27 11:48:13.527
1766836393504,26.5,229.0,0.121,49.9,4.214,0.96,json_import,2025-12-27 11:53:13.504
1766836693498,27.7,228.39999,0.127,50.0,4.216,0.95,json_import,2025-12-27 11:58:13.498
1766836993529,29.3,229.39999,0.135,50.0,4.219,0.95,json_import,2025-12-27 12:03:13.529
1766837293539,30.3,228.60001,0.139,49.9,4.221,0.95,json_import,2025-12-27 12:08:13.539
1766837593518,30.1,229.0,0.139,50.0,4.224,0.95,json_import,2025-12-27 12:13:13.518
1766837894211,28.8,229.0,0.133,50.0,4.226,0.95,json_import,2025-12-27 12:18:14.211
1766838193522,28.4,227.89999,0.13,50.0,4.228,0.96,json_import,2025-12-27 12:23:13.522
1766838493524,26.6,227.60001,0.122,50.0,4.231,0.96,json_import,2025-12-27 12:28:13.524
1766838793560,27.0,224.0,0.125,50.0,4.233,0.96,json_import,2025-12-27 12:33:13.560
1766839093527,27.5,224.3,0.127,50.0,4.235,0.97,json_import,2025-12-27 12:38:13.527
1766839393548,26.0,225.2,0.12,49.9,4.237,0.96,json_import,2025-12-27 12:43:13.548
1766839693546,27.1,225.0,0.125,50.0,4.24,0.96,json_import,2025-12-27 12:48:13.546
1766839993523,26.7,223.10001,0.124,50.0,4.242,0.97,json_import,2025-12-27 12:53:13.523
1766840293561,26.1,225.60001,0.12,50.0,4.244,0.96,json_import,2025-12-27 12:58:13.561
1766840593559,27.2,223.60001,0.126,50.0,4.246,0.97,json_import,2025-12-27 13:03:13.559
1766840893552,28.9,223.60001,0.132,50.0,4.249,0.98,json_import,2025-12-27 13:08:13.552
1766841193548,27.8,223.5,0.127,49.9,4.251,0.98,json_import,2025-12-27 13:13:13.548
1766845353992,26.2,231.3,0.122,50.0,4.252,0.93,json_import,2025-12-27 14:22:33.992
1766845653874,41.2,225.89999,0.189,50.0,4.256,0.96,json_import,2025-12-27 14:27:33.874
1766845953868,41.6,226.0,0.19,49.9,4.259,0.97,json_import,2025-12-27 14:32:33.868
1766846253885,41.8,226.8,0.191,50.0,4.262,0.96,json_import,2025-12-27 14:37:33.885
1766846553863,26.4,229.8,0.123,50.0,4.265,0.93,json_import,2025-12-27 14:42:33.863
1766846854151,24.0,228.7,0.111,49.9,4.267,0.95,json_import,2025-12-27 14:47:34.151
1766847153934,23.6,227.89999,0.11,49.9,4.269,0.94,json_import,2025-12-27 14:52:33.934
1766847453897,24.1,228.60001,0.112,50.0,4.271,0.94,json_import,2025-12-27 14:57:33.897
1766847753901,24.7,227.5,0.114,50.0,4.273,0.95,json_import,2025-12-27 15:02:33.901
